                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1673,                 1.2065,                0.82564,                0.68754,                0.48628,                0.47235,                0.30824,                0.93123,                 1.7794,                0.80063,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.1684,                0.76433,                0.81423,                0.66646,                0.68472,                0.66879,                0.39687,                 1.1767,                 1.0752,                0.80749,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2615,                0.75007,                0.81519,                 0.6457,                0.54351,                0.59836,                0.35174,                 1.1178,                0.77994,                0.81441,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1765,                0.64214,                0.81181,                0.75878,                0.62127,                0.68657,                 0.4109,                    1.2,                0.69416,                0.82199,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.209,                 0.6164,                0.81045,                0.86681,                0.64506,                0.69408,                0.44289,                 1.0121,                0.55904,                0.80876,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.0898,                0.59756,                0.80629,                0.82836,                0.69021,                0.72884,                0.47341,                0.97658,                0.59936,                0.80375,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0856,                0.57061,                0.80298,                0.81035,                0.66132,                0.73003,                0.47267,                0.97382,                0.52001,                0.80633,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0322,                0.54137,                0.80216,                0.85823,                0.58928,                0.69721,                0.44699,                0.99628,                0.54392,                0.81092,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0663,                0.54058,                0.80531,                0.75378,                0.65654,                0.70123,                0.45543,                0.98147,                0.50613,                0.80306,               0.001151,               0.001151,               0.001151
                     10,                0.99755,                0.51253,                0.79983,                0.88796,                0.72371,                0.76324,                0.49812,                0.93309,                0.47538,                0.80357,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0354,                0.51996,                0.79716,                 0.7544,                0.64864,                0.70639,                0.43242,                  1.084,                0.52657,                0.81614,              0.0011263,              0.0011263,              0.0011263
