                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97932,                0.46686,                0.79192,                0.81277,                0.67049,                 0.7402,                 0.4878,                0.90165,                0.44571,                0.79867,             0.00081688,             0.00081688,             0.00081688
                     37,                0.96882,                0.45931,                0.79256,                0.87912,                0.67319,                0.74811,                0.48877,                 0.8849,                0.43462,                 0.7959,              0.0008045,              0.0008045,              0.0008045
                     38,                0.93101,                0.43911,                0.78922,                0.81435,                0.70948,                0.74992,                0.51223,                0.86141,                0.42896,                0.79553,             0.00079213,             0.00079213,             0.00079213
                     39,                0.97131,                 0.4495,                0.79267,                0.82934,                0.71882,                0.77409,                0.51445,                0.87222,                0.42605,                0.79601,             0.00077975,             0.00077975,             0.00077975
                     40,                0.91123,                0.43341,                0.79077,                0.80476,                0.68584,                0.74721,                0.49556,                0.86731,                0.44077,                0.79618,             0.00076738,             0.00076738,             0.00076738
                     41,                  0.925,                0.43133,                0.79063,                0.80644,                0.72568,                0.76064,                0.50026,                0.89977,                0.43156,                0.79882,               0.000755,               0.000755,               0.000755
                     42,                0.92855,                0.43555,                0.78924,                0.86654,                0.72395,                0.77262,                0.51447,                0.87542,                0.42571,                0.79623,             0.00074263,             0.00074263,             0.00074263
                     43,                0.92209,                0.43604,                0.78939,                0.80233,                0.71266,                0.77017,                0.50439,                0.86384,                0.42539,                0.79678,             0.00073025,             0.00073025,             0.00073025
                     44,                0.91376,                0.42846,                0.78851,                0.90121,                0.71648,                0.77497,                0.50883,                0.85608,                0.41162,                0.79555,             0.00071788,             0.00071788,             0.00071788
                     45,                0.92194,                 0.4265,                0.78658,                0.83931,                0.69157,                 0.7451,                0.49313,                0.86918,                0.44143,                0.79594,              0.0007055,              0.0007055,              0.0007055
                     46,                0.89048,                0.41421,                0.78779,                0.80888,                0.68592,                0.75437,                0.48872,                0.88601,                0.43126,                0.79808,             0.00069313,             0.00069313,             0.00069313
                     47,                0.90701,                0.42276,                0.78828,                0.92667,                0.64001,                0.74134,                0.47848,                0.89435,                0.42977,                0.79815,             0.00068075,             0.00068075,             0.00068075
                     48,                0.89104,                 0.4153,                0.78881,                0.90088,                0.62969,                0.73825,                0.49272,                 0.8431,                0.43346,                0.79535,             0.00066838,             0.00066838,             0.00066838
                     49,                0.88045,                0.41154,                0.78439,                0.89904,                0.70329,                0.77212,                0.52956,                0.84526,                0.40863,                0.79668,               0.000656,               0.000656,               0.000656
                     50,                0.88562,                0.41583,                0.78503,                0.84747,                 0.6942,                0.76099,                0.51051,                0.86144,                0.42014,                0.79643,             0.00064362,             0.00064362,             0.00064362
                     51,                0.89693,                0.41477,                0.78425,                0.87444,                0.68363,                0.74892,                0.51009,                0.84676,                0.40998,                0.79617,             0.00063125,             0.00063125,             0.00063125
                     52,                0.89203,                0.41433,                 0.7878,                0.91947,                0.64882,                0.75372,                0.50746,                0.89222,                0.42124,                0.79532,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.8886,                0.41906,                0.78757,                0.80191,                0.70487,                0.74379,                0.51105,                0.84674,                0.42392,                0.79468,              0.0006065,              0.0006065,              0.0006065
                     54,                0.86181,                0.40828,                0.78648,                0.81489,                0.67317,                0.76096,                0.50806,                0.85819,                0.43053,                0.79586,             0.00059413,             0.00059413,             0.00059413
                     55,                0.89973,                0.41758,                0.78772,                0.89968,                0.69694,                0.75851,                0.51366,                0.87128,                0.42412,                0.79689,             0.00058175,             0.00058175,             0.00058175
                     56,                0.89694,                0.41544,                0.78755,                0.87736,                0.68204,                0.76271,                0.51003,                0.86903,                0.41439,                 0.7951,             0.00056938,             0.00056938,             0.00056938
                     57,                0.87668,                0.40481,                0.78786,                0.83198,                0.71198,                0.75962,                 0.5169,                0.83969,                    0.4,                0.79447,               0.000557,               0.000557,               0.000557
                     58,                0.85911,                0.39658,                0.78364,                0.90391,                 0.6902,                0.76908,                0.52533,                0.84664,                0.40045,                0.79506,             0.00054463,             0.00054463,             0.00054463
                     59,                0.83583,                0.38848,                0.78454,                0.81042,                0.72971,                0.76565,                0.51251,                 0.8739,                0.41721,                0.79415,             0.00053225,             0.00053225,             0.00053225
                     60,                0.86122,                0.39819,                0.78375,                0.88595,                0.72186,                0.76207,                0.52321,                0.83516,                0.41867,                0.79344,             0.00051988,             0.00051988,             0.00051988
                     61,                0.84831,                0.39567,                0.78378,                0.86991,                0.70963,                0.77136,                0.52607,                0.84313,                0.39836,                0.79342,              0.0005075,              0.0005075,              0.0005075
